Descriptor_1,Descriptor_2,Pearson_Correlation,Abs_Correlation
nHssNH,SHssNH,0.9262893499115096,0.9262893499115096
AATS2m,AMW,0.9261305519074325,0.9261305519074325
SpMin4_Bhm,SpMin5_Bhm,0.9261045405508428,0.9261045405508428
ZMIC2,ZMIC3,0.9260229777191618,0.9260229777191618
ATS0s,SM1_Dze,0.9248078823221582,0.9248078823221582
VCH-6,VCH-7,0.9247672567856426,0.9247672567856426
AATSC4v,GATS4v,-0.9236168367611922,0.9236168367611922
SpMax7_Bhm,SpMax5_Bhv,0.923395027968641,0.923395027968641
SCH-7,VCH-7,0.92336634368401,0.92336634368401
nHBa,nHBAcc,0.9229073345432278,0.9229073345432278
SpMin7_Bhs,SpMin8_Bhs,0.9228257016254652,0.9228257016254652
nF7Ring,nF7HeteroRing,0.9227982666075155,0.9227982666075155
SpMin5_Bhm,SpMin5_Bhe,0.922755608382315,0.922755608382315
SCH-6,VCH-6,0.9224676907337553,0.9224676907337553
SpMin6_Bhs,SpMin7_Bhs,0.9223632690498509,0.9223632690498509
AATSC7c,MATS7c,0.922223058646754,0.922223058646754
ATS0s,ATS2s,0.9217454644655493,0.9217454644655493
SpMin6_Bhv,SpMin6_Bhe,0.9216696922133497,0.9216696922133497
VPC-4,GGI2,0.9212426621735573,0.9212426621735573
SpMin7_Bhm,SpMin6_Bhv,0.9210197045094374,0.9210197045094374
AATSC8e,MATS8e,0.9208374134249404,0.9208374134249404
AATS5v,AATS5p,0.9208046353183591,0.9208046353183591
n7Ring,n7HeteroRing,0.9206142544592497,0.9206142544592497
ATSC6v,ATSC6p,0.9205481621806024,0.9205481621806024
ATS2s,ATSC0e,0.9202214680687585,0.9202214680687585
SpMin7_Bhv,SpMin5_Bhe,0.9202153140481945,0.9202153140481945
IC2,IC3,0.920102105721973,0.920102105721973
minHCsatu,maxHCsatu,0.9195487814426662,0.9195487814426662
ETA_EtaP_B,JGI1,0.919044555864939,0.919044555864939
AATSC3i,MATS3i,0.9188954330152794,0.9188954330152794
nT7Ring,nT7HeteroRing,0.9186237633630612,0.9186237633630612
ZMIC1,ZMIC2,0.9183529281543382,0.9183529281543382
SpMin5_Bhv,SpMin4_Bhe,0.9180312327184865,0.9180312327184865
VR2_Dzv,VR2_Dze,0.9176602638096621,0.9176602638096621
SpMin6_Bhm,SpMin5_Bhv,0.9175858544863208,0.9175858544863208
nHBAcc,TopoPSA,0.917544900423681,0.917544900423681
SpMax5_Bhv,SpMin4_Bhv,0.9173649221000041,0.9173649221000041
nO,ATSC0e,0.9172793264792255,0.9172793264792255
SwHBd,minwHBd,0.9170939191424811,0.9170939191424811
AATS0e,ETA_Epsilon_2,0.9170598117961134,0.9170598117961134
SpMin6_Bhe,SpMin7_Bhe,0.9169673197828281,0.9169673197828281
VE2_DzZ,VE2_Dze,0.916774379270786,0.916774379270786
SpMax5_Bhm,SpMax4_Bhv,0.9167347731124306,0.9167347731124306
SpMin4_Bhm,SpMin5_Bhv,0.9166565550262586,0.9166565550262586
AATS1m,AMW,0.916569123978348,0.916569123978348
AATSC6c,MATS6c,0.9165657532862681,0.9165657532862681
SM1_DzZ,SM1_Dze,0.9164594674636632,0.9164594674636632
nHBint4,SHBint4,0.9163954983411893,0.9163954983411893
ASP-0,ETA_Shape_P,0.9161900438378654,0.9161900438378654
